IM_Dir	Directorate	IM_Dep	Department	Project Definition	Project Definition Description	WBS Element	WBS Element Description	Fund Source Desc	Major Fund	Original Budget	Adj Bug Aug	Motivation	Ward	Total Project Cost
A08	Utility Services	A0806	Water & Sanitation	C05.01333	Durbanville Collectors Sewers	C05.01333-F3	Durbanville Collectors Sewers	1 EFF	EFF	500000	888347	Contractor liquidated. Liquidator not registered as vendor with City as liquidator has been blocked on system. Final payment certificate to be processed.	21	37598694.12
A08	Utility Services	A0806	Water & Sanitation	C06.01457	Bellvile North Water Supply system	C06.01457-F1	Bellvile North Water Supply system	1 EFF	EFF	2000000	3921963	Project had a late start due to  incomplete design which delayed the project.	2	15939781.67
A08	Utility Services	A0806	Water & Sanitation	C06.01639	Retreat Rising Main - Rehab	C06.01639-F2	Retreat Rising Main - Rehab	1 EFF	EFF	1000000	0	"Project was completed in 2012/13 financial year due to contractor accelerated performance. R 1 million to be transferred to  C14.86045-F1:IT: System, Infra. Equipment: Additional."	72	9031547.64
A08	Utility Services	A0806	Water & Sanitation	C06.01613	Expansion of WWTW	C06.01613-F2	Expansion of WWTW - EFF	1 EFF	EFF	6000000	6000000		200	12000000.00
A08	Utility Services	A0806	Water & Sanitation	C06.30170	Bellville Wastewater Treatment Works	C06.30170-F1	Bellville WWTW - EFF	1 EFF	EFF	11640000	11640000		9	323379567.44
A08	Utility Services	A0806	Water & Sanitation	C07.00048	Blue Route Interceptor Sewer	C07.00048-F2	Blue Route Interceptor Sewer	1 EFF	EFF	1000000	1000000		71	6257839.63
A08	Utility Services	A0806	Water & Sanitation	C07.00047	Fish Hoek Outfall Sewer	C07.00047-F2	Fish Hoek Outfall Sewer	1 EFF	EFF	1000000	1000000		64	3143435.75
A08	Utility Services	A0806	Water & Sanitation	C07.00407	Northern Area Sewer Thornton	C07.00407-F1	Northern Area Sewer Thornton	1 EFF	EFF	90000000	90000000		53	151017438.82
A08	Utility Services	A0806	Water & Sanitation	C08.00214	De Grendel Reservoir	C08.00214-F1	De Grendel Reservoir	1 EFF	EFF	6000000	10928650	Roll-over: Funds are required to fund consultant fees due to increase in contract sum (Report submitted to BAC for approval). ; Other Adjustment: Funds are required for increase in contract sum due increase in scope of work.	105	37088148.78
A08	Utility Services	A0806	Water & Sanitation	C08.11114	Trappies Sewerage System	C08.11114-F1	Trappies Sewerage System	1 EFF	EFF	3000000	0	"The preliminary design to be funded ex Operating Budget. R 2 million realigned to C14.86034- F1: Small Plant and Equipment and R 701 000  to C14.86045-F1 - IT: System, Infra, Equipment."	100	5836966.87
A08	Utility Services	A0806	Water & Sanitation	C08.86027	Somerset West Bus. Park Main sewer	C08.86027-F1	SWest Bus Park Main Sewer (lower leg)	1 EFF	EFF	5500000	5500000		109	36114864.74
A08	Utility Services	A0806	Water & Sanitation	C08.86038	Main Rd Upgrade M/Berg to Clovelly Rehab	C08.86038-F1	Main Rd Upgrade M/Berg to Clovelly Rehab	1 EFF	EFF	10000000	20000000	Project is managed by Transport & Roads department. Additional funding required - cost higher than anticipated. R 5.9 million to be  transferred from C14.86024-F1 Replace & Upgr Sewer Network (citywide) and R 4.1 million to be transferred from C14.86025-F1 Replace & Upgr Water Network (citywide).	64	106970162.80
A08	Utility Services	A0806	Water & Sanitation	C09.86014	Pump Station & Rising Main Du Noon	C09.86014-F1	Pump Station & Rising Main Du Noon	1 EFF	EFF	23000000	23642917	Mechanical portion of project delayed due to an appeal.	104	37594999.01
A08	Utility Services	A0806	Water & Sanitation	C09.86008	Ruyterwacht  Midblock water Pipes	C09.86008-F1	Ruyterwacht  Midblock Water Pipes	1 EFF	EFF	5000000	5854588	Tender prices came in higher than anticipated.	30	37312495.94
A08	Utility Services	A0806	Water & Sanitation	C09.86015	Rehab Outfall Sewers Pentz Sandrift m/qu	C09.86015-F1	Rehab Outfall Sewers Pentz Sandrift m/qu	1 EFF	EFF	5000000	5881876	Consultant fees to be paid. Consultant could not finalised report due to City CCTV camera tender not being awarded which was required for investigation.	4	85181968.44
A08	Utility Services	A0806	Water & Sanitation	C10.86018	Gordons Bay WWTW-Improvements	C10.86018-F1	Gordons Bay WWTW-Improvements	1 EFF	EFF	1000000	1000000		100	1000000.00
A08	Utility Services	A0806	Water & Sanitation	C10.82001	Cape Flats #1 Rehabilitation	C10.82001-F1	Cape Flats #1 Rehabilitation	1 EFF	EFF	2000000	2000000		200	47496891.90
A08	Utility Services	A0806	Water & Sanitation	C10.82002	Cape Flats #2 Rehabilitation	C10.82002-F1	Cape Flats #2 Rehabilitation	1 EFF	EFF	2000000	2000000		200	47256140.88
A08	Utility Services	A0806	Water & Sanitation	C12.86019	TMS Aquifer Deep Borehole	C12.86019-F2	TMS Aquifer Deep Borehole	1 EFF	EFF	8000000	8000000		200	42917495.99
A08	Utility Services	A0806	Water & Sanitation	C10.86130	Regional resources development	C10.86130-F1	Regional resources development	1 EFF	EFF	13000000	13000000		12	80648046.52
A08	Utility Services	A0806	Water & Sanitation	C10.86132	Remove midblock water network-Bishop Lav	C10.86132-F1	Remove midblock water network-Bishop Lav	1 EFF	EFF	5000000	5000000		12	9982466.46
A08	Utility Services	A0806	Water & Sanitation	C12.86057	Hout Bay Outfall-Refurbish equipment	C12.86057-F1	Hout Bay Outfall-Refurbish equipment	1 EFF	EFF	300000	300000		74	25000000.00
A08	Utility Services	A0806	Water & Sanitation	C13.86005	Cape Flats WWTW-Refurbish various struct	C13.86005-F1	Cape Flats WWTW-Refurbish various struct	1 EFF	EFF	5000000	5000000		67	61000000.00
A08	Utility Services	A0806	Water & Sanitation	C13.86010	Mitchells Plain WWTW-Improvements Phase2	C13.86010-F1	Mitchells Plain WWTW-Improvements Phase2	1 EFF	EFF	5500000	5500000		43	53500000.00
A08	Utility Services	A0806	Water & Sanitation	C13.86053	Completion of Cape Flats III Bulk Sewer	C13.86053-F1	Completion of Cape Flats III Bulk Sewer	4 NT USDG	CGD	30000000	7000000	Project rephased due to route alteration. Funds to be transferred to 2014/15.	49	134453091.82
A08	Utility Services	A0806	Water & Sanitation	C08.86027	Somerset West Bus. Park Main sewer	C08.86027-F2	SWest Bus Park Main Sewer (lower leg)	3 BICL Sewer:Hel	CRR	5000000	5000000		15	36114864.74
A08	Utility Services	A0806	Water & Sanitation	C11.86077	Bulk Water Augmentation Scheme	C11.86077-F2	Bulk Water Augmentation Scheme (CRR)	3 CRR: Water	CRR	6400000	6400000		200	864337748.65
A08	Utility Services	A0806	Water & Sanitation	C12.86082	Water Supply at Baden Powell Dr to Khaye	C12.86082-F1	Water Supply at Baden Powell Dr to Khaye	4 NT USDG	CGD	0	120000	Funds are required for the appointment of a Professional service provider.	81	2120000.00
A08	Utility Services	A0806	Water & Sanitation	C12.86083	New Rest Reticulation Rectification	C12.86083-F1	New Rest Reticulation Rectification	4 NT USDG	CGD	7000000	14500000	Tender prices came in higher than anticipated. Additional work required that was not originally planned.	44	15249596.13
A08	Utility Services	A0806	Water & Sanitation	C12.86084	Completion of Langa Collector Sewer	C12.86084-F1	Completion of Langa Collector Sewer	4 NT USDG	CGD	8500000	8500000		51	8999907.30
A08	Utility Services	A0806	Water & Sanitation	C12.86074	Construction of new Head Office	C12.86074-F1	Construction of new Head Office	1 EFF	EFF	11000000	11000000		200	202900000.00
A08	Utility Services	A0806	Water & Sanitation	C12.86079	EAM Depot Realignment - 5 Nodal System	C12.86079-F1	EAM Depot Realignment - 5 Nodal System	1 EFF	EFF	25000000	49282104	Contract behind program due to late commencement of project.	200	68856361.67
A08	Utility Services	A0806	Water & Sanitation	C14.86001	Penhill Sewer Installation	C14.86001-F1	Penhill Sewer Installation	1 EFF	EFF	500000	500000		14	10500000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86003	Specialised Equip: Additional Electrical	C14.86003-F1	Specialised Equip: Additional Electrical	1 EFF	EFF	500000	500000		201	500000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86005	Furniture & Equipment (IT): Additional	C14.86005-F1	Furniture & Equipment (IT): Additional	1 EFF	EFF	500000	500000		201	500000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86007	Replacement of Vehicles	C14.86007-F1	Replacement of Vehicles	1 EFF	EFF	25000000	30299000	Funds to be transferred from C13.86053-F2: Completion of Cape Flats III Bulk Sewer to enhance vehicle replacement programme and reduce dependency on hired vehicles.	201	30299000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86008	Laboratory Equipm: Addition Scientif Ser	C14.86008-F1	Laboratory Equipm: Addition Scientif Ser	1 EFF	EFF	2500000	2500000		201	2500000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86009	Refurbishment of Labs	C14.86009-F1	Refurbishment of Labs	1 EFF	EFF	400000	400000		200	400000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86011	"Furniture,Tools,Equipment:AdditionalEAMS"	C14.86011-F1	"Furniture,Tools,Equipment:AdditionalEAMS"	1 EFF	EFF	276000	276000		201	276000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86012	"Furniture, Tools & Equip: Additional WDM"	C14.86012-F1	"Furniture, Tools & Equip: Additional WDM"	1 EFF	EFF	100000	100000		201	100000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86013	"Furniture,Tools & Equip: Additional WWTW"	C14.86013-F1	"Furniture,Tools & Equip: Additional WWTW"	1 EFF	EFF	200000	200000		201	200000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86015	Informal Incremental Areas Upgrade	C14.86015-F1	Informal Incremental Areas Upgrade	1 EFF	EFF	20000000	20000000		200	20000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86016	Infrastructure Replace/Refurbish - WWT	C14.86016-F1	Infrastructure Replace/Refurbish - WWT	1 EFF	EFF	30000000	30000000		200	30000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86020	Pump Stn Rehab ( Citywide)	C14.86020-F1	Pump Stn Rehab ( Citywide)	4 NT USDG	CGD	9950000	10350000	Funds are required for Clovelly Pump station on water Main & Upgrading of Khayelitsha pump station.	200	10350000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86022	Rehab of Sewer Network (Citywide)	C14.86022-F1	Rehab of Sewer Network (Citywide)	4 NT USDG	CGD	1500000	5000000	Additional funds are required for ageing network in previously disadvantaged areas.	200	5000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86023	Rehab of Water Network (Citywide)	C14.86023-F1	Rehab of Water Network (Citywide)	4 NT USDG	CGD	1500000	5000000	Additional funds are required for ageing network in previously disadvantaged areas.	200	5000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86024	Replace & Upgr Sewer Network (Citywide)	C14.86024-F1	Replace & Upgr Sewer Network (Citywide)	1 EFF	EFF	59500000	53600000	Reprioritisation of requirements complete. Funds to be transferred to C08.86038-F1:Main Rd Upgrade M/Berg to Clovelly Rehab consisting of water & Sewer Infrastructure as well as C14.86026:Upgrading of Sewer Pump Stations.	200	53600000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86025	Replace & Upgr Water Network (citywide)	C14.86025-F1	Replace & Upgr Water Network (citywide)	1 EFF	EFF	78611507	66916569	"Reprioritisation of requirements complete. Additional funds are required for C08.86038-F1: Main Rd Upgrade M/Berg to Clovelly Rehab consisting of water & Sewer Infrastructure, C08.00214- F1: De Grendel Reservoir and C09.86008-F1:Ruyterwacht Midblock."	200	66916569.00
A08	Utility Services	A0806	Water & Sanitation	C14.86026	Replace &Upgr Sew Pumpstns (citywide)	C14.86026-F1	Replace &Upgr Sew Pumpstns (citywide)	1 EFF	EFF	1900000	4300000	Additional funds required to ensure security at pump stations as well as upgrading of Gordon's Bay pump station. Funds to be transferred from C14.86024-F1:Replace & Upgr Sewer Network (Citywide).	200	4300000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86027	Sundry Equip: Additional various WWTW	C14.86027-F1	Sundry Equip: Additional various WWTW	1 EFF	EFF	300000	300000		201	300000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86030	"Tools,Equip: Additional Design contracts"	C14.86030-F1	"Tools,Equip: Additional Design contracts"	1 EFF	EFF	800000	800000		201	800000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86031	Tools & Equipment: Additional (Mech)	C14.86031-F1	Tools & Equipment: Additional (Mech)	1 EFF	EFF	1000000	1000000		201	1000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86032	Tools & Equipment: Additional (PCS)	C14.86032-F1	Tools & Equipment: Additional (PCS)	1 EFF	EFF	581900	581900		201	581900.00
A08	Utility Services	A0806	Water & Sanitation	C14.86033	Replacement of Plant & Equipment (EAMS)	C14.86033-F1	Replacement of Plant & Equipment (EAMS)	1 EFF	EFF	4820593	4820593		201	4820593.00
A08	Utility Services	A0806	Water & Sanitation	C14.86034	Small Plant & Equipment: Additional	C14.86034-F1	Small Plant & Equipment: Additional	1 EFF	EFF	500000	2500000	R 2 million to be transferred from  C08.11114-F1:Trappies Sewerage System to replace obsolete equipment and reduce dependency on hired equipment.	201	2500000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86037	Bulk Water Infrastructure Replacement	C14.86037-F1	Bulk Water Infrastructure Replacement	1 EFF	EFF	20000000	20000000		200	20000000.00
A08	Utility Services	A0806	Water & Sanitation	C06.30170	Bellville Wastewater Treatment Works	C06.30170-F3	Bellville WWTW-USDG	4 NT USDG	CGD	3000000	3000000		9	323379567.44
A08	Utility Services	A0806	Water & Sanitation	C10.86033	Zandvliet WWTW-Extension	C10.86033-F3	Zandvliet WWTW-Extension (USDG)	4 NT USDG	CGD	12000000	12000000		109	136471710.00
A08	Utility Services	A0806	Water & Sanitation	C11.86060	Philippi Collector Sewer	C11.86060-F3	Philippi Collector Sewer	4 NT USDG	CGD	700000	700000		33	74900000.00
A08	Utility Services	A0806	Water & Sanitation	C11.86063	Potsdam WWTW - Extension	C11.86063-F3	Potsdam WWTW - Extension (USDG)	4 NT USDG	CGD	8300000	2300000	High Court Appeal has not been resolved. Risk of insufficient time to spend the budget as the Waste Water department cannot re-advertised the tender.	4	269202623.78
A08	Utility Services	A0806	Water & Sanitation	C12.86096	Macassar WWTW Extension (USDG)	C12.86096-F1	Macassar WWTW Extension (USDG)	4 NT USDG	CGD	11000000	0	"Due to a potential appeal and High Court action against the highest rank tenderer of tender 188Q 2-12/13, risk is high that the funds will not be spend."	109	54906510.44
A08	Utility Services	A0806	Water & Sanitation	C11.86077	Bulk Water Augmentation Scheme	C11.86077-F4	Bulk Water Augmentation Scheme (USDG)	4 NT USDG	CGD	25100000	5300000	"Design delayed due to EIA process. Final EIR submitted to DEA&DP for Environmental Authorization (EA) on 24 July 2012 (received 25 July 2012) and Additional info (final comments from I&APs) submitted 21 August 2012. EA issued on 30 January 2013, 1 appeal against EA received and being dealt with (CCT response to appeal submitted to DEA&DP 23 April 2013) by DEA&DP. Resolution of appeal required before proceeding with land acquisition and detailed design. The appeal has not yet been resolved and  has caused the programmed commencement of construction to move from 2013/14 to 2014/15 financial year. At the time of preparing the original budget, this ""additional"" delay to the resolution of the appeal was not foreseen."	200	864337748.65
A08	Utility Services	A0806	Water & Sanitation	C12.86090	BlacMac Sewer: Upgrade sewer diversion	C12.86090-F1	BlacMac Sewer: Upgrade sewer diversion	4 PROV HOUSE DEV BRD	CGD	5000000	5000000		200	5000000.00
A08	Utility Services	A0806	Water & Sanitation	C12.86091	Borchards Quarry WWTW	C12.86091-F1	Borchards Quarry WWTW	4 NT USDG	CGD	20000000	20000000		31	41108052.67
A08	Utility Services	A0806	Water & Sanitation	C06.30148	Mitchells Plain WWTW	C06.30148-F3	Mitchells Plain WWTW (USDG)	4 NT USDG	CGD	50000000	50000000		43	72099814.55
A08	Utility Services	A0806	Water & Sanitation	C08.00214	De Grendel Reservoir	C08.00214-F2	De Grendel Reservoir	3 BICL Water:Tyg N	CRR	7000000	7000000		105	37088148.78
A08	Utility Services	A0806	Water & Sanitation	C14.86038	Bulk Sewer (Housing Projects)	C14.86038-F1	Bulk Sewer (Housing Projects)	4 NT USDG	CGD	4000000	4000000		200	4000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86039	Bulk Water ( Housing Projects)	C14.86039-F1	Bulk Water ( Housing Projects)	4 NT USDG	CGD	5500000	5500000		200	5500000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86045	"IT: System, Infra. Equipment: Additional"	C14.86045-F1	"IT: System, Infra. Equipment: Additional"	1 EFF	EFF	6000000	7701000	Share Point project – Water and Sanitation required ISO accreditation and a central storage for information and documents which is a requirement. Remote locations also do not comply to the minimum Share Point requirements and therefore upgrades are required.  Project could not be implemented in 2012/13. R 701 000 to be transferred from  Provision realigned from C08.1114-F1:Trappies Sewerage System and R 1 million from  C06.01639-F2:Retreat Rising Main - Rehab.	201	7701000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86046	"Tools,Sundry Equip:Additional  Flt Maint"	C14.86046-F1	"Tools,Sundry Equip:Additional  Flt Maint"	1 EFF	EFF	110000	110000		201	110000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86050	Replacement of Plant & Equipment BW	C14.86050-F1	Replacement of Plant & Equipment BW	1 EFF	EFF	250000	250000		201	250000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86051	Plant & Equipment Additional BW	C14.86051-F1	Plant & Equipment Additional BW	1 EFF	EFF	500000	500000		201	500000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86052	WS contingency provision - Insurance	C14.86052-F1	WS contingency provision - Insurance	2 REVENUE: INSURANCE	REVENUE	1000000	1000000		201	1000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86053	Informal settlements water installations	C14.86053-F1	Informal settlements water installations	1 EFF	EFF	2000000	2000000		200	2000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86054	Water Meters (Retic)	C14.86054-F1	Water Meters (Retic)	4 PRIVATE SECTOR FIN	CGD	10000000	10000000		200	15000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86055	Development of Additional Infrastructure	C14.86055-F2	Development of Additional Infrastructure	3 CRR: Water	CRR	16550000	16550000		200	26550000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86055	Development of Additional Infrastructure	C14.86055-F3	Development of Additional Infrastructure	4 NT USDG	CGD	10000000	10000000		200	26550000.00
A08	Utility Services	A0806	Water & Sanitation	C13.86053	Completion of Cape Flats III Bulk Sewer	C13.86053-F2	Completion of Cape Flats III Bulk Sewer	1 EFF	EFF	8000000	3000000	"Due to route alteration, project to be rephased to 2014/15. R 5 million to be transferred to C14.86077-F1: Replacement of Vehicles."	49	134453091.82
A08	Utility Services	A0806	Water & Sanitation	C09.86014	Pump Station & Rising Main Du Noon	C09.86014-F2	Pump Station & Rising Main Du Noon	4 NT USDG	CGD	5000000	5000000		104	37594999.01
A08	Utility Services	A0806	Water & Sanitation	C11.86060	Philippi Collector Sewer	C11.86060-F1	Philippi Collector Sewer	1 EFF	EFF	200000	200000		43	74900000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86054	Water Meters (Retic)	C14.86054-F2	Water Meters (Retic)	3 CRR: Water	CRR	5000000	5000000		200	15000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86056	Spes Bona Reservoir 35 Ml	C14.86056-F1	Spes Bona Reservoir 35 Ml (USDG)	4 NT USDG	CGD	500000	500000		105	38609572.00
A08	Utility Services	A0806	Water & Sanitation	C14.86057	Gordons Bay Development Area new sewer	C14.86057-F1	Gordons Bay Development Area new sewer	1 EFF	EFF	375000	375000		100	375000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86058	"Melkbaai,Strand:Upgrade S/Pump stations"	C14.86058-F1	"Melkbaai,Strand:Upgrade S/Pump stations"	1 EFF	EFF	625000	625000		83	47125000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86059	Zevenwacht Reservoir and Network	C14.86059-F2	Zevenwacht Reservoir and Network	3 BICL Water:Hel	CRR	1250000	1250000		14	10500000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86060	Furniture & Equipment Electrical	C14.86060-F1	Furniture & Equipment Electrical	1 EFF	EFF	150000	150000		201	150000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86061	Treated Effluent : Re-use and Upgrades	C14.86061-F1	Treated Effluent : Re-use and Upgrades	1 EFF	EFF	28600000	25600000	Projects have been reprioritised in order to purchase auto samplers for Pollution monitoring in sewers. Funds to be transferred to C14.86077-F1:Pollution Control to align to virement processed during 2012/13.	200	25600000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86062	Pressure Management	C14.86062-F1	Pressure Management	1 EFF	EFF	20000000	20000000		200	20000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86063	Telemetry Automation (Retic)	C14.86063-F1	Telemetry Automation (Retic)	1 EFF	EFF	7000000	2000000	Telemetry requirements reprioritised. R 5 million to be transferred to C13.86050-F1 TOC Infrastructure Development for the implementation of the WACHS (Valve maintenance equipment)  project and integration.	200	31000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86068	Zone Metering	C14.86068-F1	Zone Metering	1 EFF	EFF	4000000	4000000		200	4000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86069	Logger installations	C14.86069-F1	Logger installations	1 EFF	EFF	5000000	5000000		200	5000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86070	Meter Replacement Program	C14.86070-F1	Meter Replacement Program	1 EFF	EFF	75000000	75000000		200	75000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86071	Sewer Projects as per Master Plan	C14.86071-F1	Sewer Projects as per Master Plan	1 EFF	EFF	2500000	2500000		200	2500000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86072	Water Projects as per Master Plan	C14.86072-F1	Water Projects as per Master Plan	1 EFF	EFF	3000000	3000000		200	3000000.00
A08	Utility Services	A0806	Water & Sanitation	C14.86073	Fisantekraal Housing Garden City - Water	C14.86073-F1	Fisantekraal Housing Garden City - Water	4 NT USDG	CGD	17364937	17364937		103	17364937.00
A08	Utility Services	A0806	Water & Sanitation	C14.86074	Fisantekraal Housing Garden City - Sewer	C14.86074-F1	Fisantekraal Housing Garden City - Sewer	4 NT USDG	CGD	8375193	8375193		103	8375193.00
A09	Community Services	A0902	"Projects, Strategy and Support"	C14.92001	"Furniture, Tools & Equipment: Additional"	C14.92001-F1	"Furniture, Tools & Equipment: Additional"	1 EFF	EFF	50000	50000		201	50000.00
A09	Community Services	A0902	"Projects, Strategy and Support"	C14.92000	CSS Contingency Provision - Insurance	C14.92000-F1	CSS Contingency Provision - Insurance	2 REVENUE: INSURANCE	REVENUE	300000	281575	Virement: Approved in terms of virement policy. Decentralised Insurance contingency provision.	201	281575.00
A09	Community Services	A0904	City Parks	C09.94009	Athlone Nantes Upgrade	C09.94009-F1	Athlone Nantes Upgrade	1 EFF	EFF	0	181361	Building plans were delayed and contractor therefore could not complete work in time. Project to be completed by end of August 2013.	49	20477440.15
A09	Community Services	A0904	City Parks	C09.94009	Athlone Nantes Upgrade	C09.94009-F3	Athlone Nantes Upgrade	4 NT USDG	CGD	0	233650	"Project to be increased to cover additional work for the following:
1. The increase in building cost. The architects fee relates to a percentage of the cost of the building construction.
2. An increase in supervision fees due to a longer construction period.
3. Additional structural supervision for the bridge construction and skateboard park.
4. Additional structural design work for the roof at the Tearoom."	49	20477440.15
A09	Community Services	A0904	City Parks	C11.94074	Park Upgrades and Developments	C11.94074-F1	Park Upgrades and Developments	4 NT USDG	CGD	0	131021	Delays due to vendor being sole supplier and not being able to produce play equipment in time for year end. Order for lights was delayed due to error on order which was only relayed to project manager on 28 June 2013 and therefore work could not be completed.	200	131021.00
A09	Community Services	A0904	City Parks	C12.94027	Cemetery Upgrades & Extensions	C12.94027-F1	Cemetery Upgrades & Extensions	4 NT USDG	CGD	0	5162	Invoice received late for processing by 30 June 2013.	200	5162.00
A09	Community Services	A0904	City Parks	C12.94028	Cemetery Upgrades & Extensions	C12.94028-F1	Cemetery Upgrades & Extensions	4 NT USDG	CGD	0	407887	Project completion delayed due to high demand for concrete palisade materials. Suppliers unable to supply materials required and therefore contractors had to wait for availability of stock.	200	407887.00
A09	Community Services	A0904	City Parks	C13.94036	Play equipment & landscaping Table View	C13.94036-F1	Play equipment & landscaping Table View	3 CRR:WardAllocation	CRR	0	14070	"A delay occurred in receipt of invoices, unable to be processed before 30 June 2013."	4	129940.56
A09	Community Services	A0904	City Parks	C13.94059	Upgrade of Parks	C13.94059-F1	Upgrade of Parks	3 CRR:WardAllocation	CRR	0	25039	Vendor failed to deliver equipment on time. Project to be completed in August 2013.	13	25039.00
A09	Community Services	A0904	City Parks	C13.94177	Upgrading of Parks throughout Ward 70	C13.94177-F2	Upgrading of Parks throughout Ward 70	3 CRR:WardAllocation	CRR	0	1553	Change of fund source. Delivery of plants delayed due to vendor having to source plants from Eastern Cape. Plants were delivered 15 July 2013 hence invoice could not be paid.	70	1553.00
A09	Community Services	A0904	City Parks	C13.94186	Upgrading of Parks: Banjo Loop Park	C13.94186-F2	Upgrading of Parks: Banjo Loop Park	3 CRR:WardAllocation	CRR	0	9737	Change of fund source. Vendor failed to deliver on time. Project to be completed in August 2013.	22	24823.23
A09	Community Services	A0904	City Parks	C13.94211	Upgrade of Akkerdraai Park	C13.94211-F2	Upgrade of Akkerdraai Park	3 CRR:MayoralRedress	CRR	0	67950	Change of fund source. Quality of vendor's work unacceptable and new site meeting to be held to source new vendor.	20	498682.45
A09	Community Services	A0904	City Parks	C13.94212	Upgrading of Park	C13.94212-F2	Upgrading of Park	3 CRR:MayoralRedress	CRR	0	4373	Change of fund source. Vendor could not supply grass due to termination of tender. Grass to be reordered from another vendor in due course.	18	4373.00
A09	Community Services	A0904	City Parks	C13.94213	Upgrade Play Park - YA Sport Facility	C13.94213-F3	Upgrade Play Park - YA Sport Facility	3 CRR:MayoralRedress	CRR	0	89616	Change of fund source. Delay due to quality of hard surfacing. Contractor poor standard which is impacting on installation of rubber matting. Alternative vendors to be sourced.	90	848460.70
A09	Community Services	A0904	City Parks	C13.94217	Construction of a Park ward 96	C13.94217-F2	Construction of a Park ward 96	3 CRR:MayoralRedress	CRR	0	6350	Change of fund source. Rubber matting not completed due to late supply of play equipment.	96	248810.64
A09	Community Services	A0904	City Parks	C08.94050	Regional Park Upg:Durbanville Rose Garde	C08.94050-F1	Regional Park Upg:Durbanville Rose Garde	1 EFF	EFF	500000	500000		21	3407539.44
A09	Community Services	A0904	City Parks	C09.94005	"Upgrade Elizabeth Park, Bellville"	C09.94005-F1	"Upgrade Elizabeth Park, Bellville"	1 EFF	EFF	150000	155020	Vendor failed to renew tax certificate and orders were not generated. New vendor will be sourced.	10	981562.98
A09	Community Services	A0904	City Parks	C09.94004	Dev. Districtpark: Zoo Park Kraaifontain	C09.94004-F1	Dev. Districtpark: Zoo Park Kraaifontain	1 EFF	EFF	250000	250000		103	299945.90
A09	Community Services	A0904	City Parks	C09.94007	"Develop Districtpark: Jack Muller,Bellvi"	C09.94007-F1	"Develop Districtpark: Jack Muller,Bellvi"	1 EFF	EFF	800000	800000		2	10683162.61
A09	Community Services	A0904	City Parks	C09.94011	Modderdam Cemetery: Upgrade Roads	C09.94011-F1	Modderdam Cemetery: Upgrade Roads	1 EFF	EFF	120000	120000		22	819985.55
A09	Community Services	A0904	City Parks	C11.94075	Delft Cemetery Development	C11.94075-F1	Delft Cemetery Development	4 NT USDG	CGD	1500000	1500000		106	5031955.00
A09	Community Services	A0904	City Parks	C09.94013	Rusthof Cemetery Upgrade	C09.94013-F2	Rusthof Cemetery Upgrade	4 NT USDG	CGD	1000000	1000000		100	2298056.42
A09	Community Services	A0904	City Parks	C09.94014	Atlantis Cemetery Upgrade	C09.94014-F2	Atlantis Cemetery Upgrade	4 NT USDG	CGD	3500000	3500000		29	11747169.16
